route_id,origin,destination,base_distance_km,region,terrain,typical_load_mean_tons,toll_per_km_usd,base_speed_kmh,base_fuel_l_per_km,maintenance_multiplier
US001,"New York, NY","Boston, MA",346,Northeast,hilly,16.0,0.045,72.0,0.33,1.1
US002,"New York, NY","Philadelphia, PA",153,Northeast,flat,16.0,0.045,85.0,0.28,1.0
US003,"New York, NY","Washington, DC",362,Northeast,flat,16.0,0.045,85.0,0.28,1.0
US004,"Boston, MA","Washington, DC",708,Northeast,hilly,16.0,0.045,72.0,0.33,1.1
US005,"Boston, MA","Philadelphia, PA",499,Northeast,hilly,16.0,0.045,72.0,0.33,1.1
US006,"Philadelphia, PA","Washington, DC",225,Northeast,flat,16.0,0.045,85.0,0.28,1.0
US007,"New York, NY","Pittsburgh, PA",595,Northeast,hilly,16.0,0.045,72.0,0.33,1.1
US008,"New York, NY","Buffalo, NY",603,Northeast,hilly,16.0,0.045,72.0,0.33,1.1
US009,"Boston, MA","Buffalo, NY",756,Northeast,hilly,16.0,0.045,72.0,0.33,1.1
US010,"Philadelphia, PA","Pittsburgh, PA",491,Northeast,hilly,16.0,0.045,72.0,0.33,1.1
US011,"Chicago, IL","Detroit, MI",455,Midwest,flat,18.0,0.02,85.0,0.28,1.0
US012,"Chicago, IL","Minneapolis, MN",655,Midwest,flat,18.0,0.02,85.0,0.28,1.0
US013,"Chicago, IL","St. Louis, MO",478,Midwest,flat,18.0,0.02,85.0,0.28,1.0
US014,"Chicago, IL","Indianapolis, IN",295,Midwest,flat,18.0,0.02,85.0,0.28,1.0
US015,"Chicago, IL","Cleveland, OH",555,Midwest,flat,18.0,0.02,85.0,0.28,1.0
US016,"Chicago, IL","Kansas City, MO",824,Midwest,flat,18.0,0.02,85.0,0.28,1.0
US017,"Chicago, IL","Milwaukee, WI",148,Midwest,flat,18.0,0.02,85.0,0.28,1.0
US018,"Detroit, MI","Cleveland, OH",272,Midwest,flat,18.0,0.02,85.0,0.28,1.0
US019,"Minneapolis, MN","Kansas City, MO",707,Midwest,flat,18.0,0.02,85.0,0.28,1.0
US020,"St. Louis, MO","Kansas City, MO",402,Midwest,flat,18.0,0.02,85.0,0.28,1.0
US021,"Atlanta, GA","Miami, FL",1069,South,flat,19.0,0.022,85.0,0.28,1.0
US022,"Atlanta, GA","Orlando, FL",708,South,flat,19.0,0.022,85.0,0.28,1.0
US023,"Atlanta, GA","Charlotte, NC",394,South,hilly,19.0,0.022,72.0,0.33,1.1
US024,"Atlanta, GA","Nashville, TN",402,South,hilly,19.0,0.022,72.0,0.33,1.1
US025,"Atlanta, GA","Dallas, TX",1257,South,mixed,19.0,0.022,70.0,0.34,1.12
US026,"Dallas, TX","Houston, TX",386,South,flat,19.0,0.022,85.0,0.28,1.0
US027,"Dallas, TX","San Antonio, TX",443,South,flat,19.0,0.022,85.0,0.28,1.0
US028,"Houston, TX","San Antonio, TX",317,South,flat,19.0,0.022,85.0,0.28,1.0
US029,"Dallas, TX","Austin, TX",314,South,flat,19.0,0.022,85.0,0.28,1.0
US030,"Austin, TX","San Antonio, TX",129,South,flat,19.0,0.022,85.0,0.28,1.0
US031,"Houston, TX","New Orleans, LA",563,South,flat,19.0,0.022,85.0,0.28,1.0
US032,"New Orleans, LA","Atlanta, GA",756,South,hilly,19.0,0.022,72.0,0.33,1.1
US033,"Miami, FL","Orlando, FL",378,South,flat,19.0,0.022,85.0,0.28,1.0
US034,"Tampa, FL","Miami, FL",451,South,flat,19.0,0.022,85.0,0.28,1.0
